,Edad,Fecha,Total vacunados
0,12,2020-12-24,0.0
1,13,2020-12-24,0.0
2,14,2020-12-24,0.0
3,15,2020-12-24,0.0
4,16,2020-12-24,0.0
5,17,2020-12-24,0.0
6,18,2020-12-24,1.0
7,19,2020-12-24,0.0
8,20,2020-12-24,1.0
9,21,2020-12-24,3.0
10,22,2020-12-24,6.0
11,23,2020-12-24,8.0
12,24,2020-12-24,16.0
13,25,2020-12-24,13.0
14,26,2020-12-24,24.0
15,27,2020-12-24,26.0
16,28,2020-12-24,32.0
17,29,2020-12-24,20.0
18,30,2020-12-24,28.0
19,31,2020-12-24,25.0
20,32,2020-12-24,12.0
21,33,2020-12-24,15.0
22,34,2020-12-24,18.0
23,35,2020-12-24,14.0
24,36,2020-12-24,10.0
25,37,2020-12-24,14.0
26,38,2020-12-24,17.0
27,39,2020-12-24,10.0
28,40,2020-12-24,12.0
29,41,2020-12-24,9.0
30,42,2020-12-24,4.0
31,43,2020-12-24,5.0
32,44,2020-12-24,2.0
33,45,2020-12-24,3.0
34,46,2020-12-24,8.0
35,47,2020-12-24,5.0
36,48,2020-12-24,3.0
37,49,2020-12-24,5.0
38,50,2020-12-24,3.0
39,51,2020-12-24,6.0
40,52,2020-12-24,9.0
41,53,2020-12-24,1.0
42,54,2020-12-24,2.0
43,55,2020-12-24,2.0
44,56,2020-12-24,6.0
45,57,2020-12-24,3.0
46,58,2020-12-24,5.0
47,59,2020-12-24,0.0
48,60,2020-12-24,4.0
49,61,2020-12-24,1.0
50,62,2020-12-24,0.0
51,63,2020-12-24,1.0
52,64,2020-12-24,1.0
53,65,2020-12-24,1.0
54,66,2020-12-24,2.0
55,67,2020-12-24,1.0
56,68,2020-12-24,0.0
57,69,2020-12-24,1.0
58,70,2020-12-24,0.0
59,71,2020-12-24,0.0
60,72,2020-12-24,0.0
61,73,2020-12-24,1.0
62,74,2020-12-24,1.0
63,75,2020-12-24,0.0
64,76,2020-12-24,0.0
65,77,2020-12-24,0.0
66,78,2020-12-24,0.0
67,79,2020-12-24,0.0
68,80,2020-12-24,0.0
69,81,2020-12-24,0.0
70,82,2020-12-24,0.0
71,83,2020-12-24,0.0
72,84,2020-12-24,0.0
73,85,2020-12-24,0.0
74,86,2020-12-24,0.0
75,87,2020-12-24,0.0
76,88,2020-12-24,0.0
77,89,2020-12-24,0.0
78,90,2020-12-24,0.0
79,91,2020-12-24,0.0
80,92,2020-12-24,0.0
81,93,2020-12-24,0.0
82,94,2020-12-24,0.0
83,95,2020-12-24,0.0
84,96,2020-12-24,0.0
85,97,2020-12-24,0.0
86,98,2020-12-24,0.0
87,99,2020-12-24,0.0
88,100,2020-12-24,0.0
89,101,2020-12-24,0.0
90,102,2020-12-24,0.0
91,103,2020-12-24,0.0
92,104,2020-12-24,0.0
93,105,2020-12-24,0.0
94,106,2020-12-24,0.0
95,107,2020-12-24,0.0
96,108,2020-12-24,0.0
97,109,2020-12-24,0.0
98,110,2020-12-24,0.0
99,111,2020-12-24,0.0
100,112,2020-12-24,0.0
101,116,2020-12-24,0.0
102,120,2020-12-24,0.0
103,121,2020-12-24,0.0
104,124,2020-12-24,0.0
105,221,2020-12-24,0.0
106,12,2020-12-25,0.0
107,13,2020-12-25,0.0
108,14,2020-12-25,0.0
109,15,2020-12-25,0.0
110,16,2020-12-25,0.0
111,17,2020-12-25,0.0
112,18,2020-12-25,6.0
113,19,2020-12-25,8.0
114,20,2020-12-25,15.0
115,21,2020-12-25,27.0
116,22,2020-12-25,50.0
117,23,2020-12-25,101.0
118,24,2020-12-25,167.0
119,25,2020-12-25,187.0
120,26,2020-12-25,231.0
121,27,2020-12-25,234.0
122,28,2020-12-25,235.0
123,29,2020-12-25,256.0
124,30,2020-12-25,259.0
125,31,2020-12-25,247.0
126,32,2020-12-25,226.0
127,33,2020-12-25,216.0
128,34,2020-12-25,186.0
129,35,2020-12-25,174.0
130,36,2020-12-25,175.0
131,37,2020-12-25,138.0
132,38,2020-12-25,137.0
133,39,2020-12-25,119.0
134,40,2020-12-25,127.0
135,41,2020-12-25,99.0
136,42,2020-12-25,84.0
137,43,2020-12-25,86.0
138,44,2020-12-25,80.0
139,45,2020-12-25,68.0
140,46,2020-12-25,72.0
141,47,2020-12-25,54.0
142,48,2020-12-25,57.0
143,49,2020-12-25,63.0
144,50,2020-12-25,57.0
145,51,2020-12-25,60.0
146,52,2020-12-25,49.0
147,53,2020-12-25,48.0
148,54,2020-12-25,50.0
149,55,2020-12-25,52.0
150,56,2020-12-25,38.0
151,57,2020-12-25,42.0
152,58,2020-12-25,37.0
153,59,2020-12-25,46.0
154,60,2020-12-25,23.0
155,61,2020-12-25,21.0
156,62,2020-12-25,15.0
157,63,2020-12-25,11.0
158,64,2020-12-25,13.0
159,65,2020-12-25,9.0
160,66,2020-12-25,8.0
161,67,2020-12-25,6.0
162,68,2020-12-25,1.0
163,69,2020-12-25,4.0
164,70,2020-12-25,2.0
165,71,2020-12-25,1.0
166,72,2020-12-25,1.0
167,73,2020-12-25,1.0
168,74,2020-12-25,1.0
169,75,2020-12-25,0.0
170,76,2020-12-25,1.0
171,77,2020-12-25,0.0
172,78,2020-12-25,0.0
173,79,2020-12-25,0.0
174,80,2020-12-25,0.0
175,81,2020-12-25,0.0
176,82,2020-12-25,0.0
177,83,2020-12-25,0.0
178,84,2020-12-25,0.0
179,85,2020-12-25,0.0
180,86,2020-12-25,0.0
181,87,2020-12-25,0.0
182,88,2020-12-25,0.0
183,89,2020-12-25,0.0
184,90,2020-12-25,0.0
185,91,2020-12-25,0.0
186,92,2020-12-25,0.0
187,93,2020-12-25,0.0
188,94,2020-12-25,0.0
189,95,2020-12-25,0.0
190,96,2020-12-25,0.0
191,97,2020-12-25,0.0
192,98,2020-12-25,0.0
193,99,2020-12-25,0.0
194,100,2020-12-25,0.0
195,101,2020-12-25,0.0
196,102,2020-12-25,0.0
197,103,2020-12-25,0.0
198,104,2020-12-25,0.0
199,105,2020-12-25,0.0
200,106,2020-12-25,0.0
201,107,2020-12-25,0.0
202,108,2020-12-25,0.0
203,109,2020-12-25,0.0
204,110,2020-12-25,0.0
205,111,2020-12-25,0.0
206,112,2020-12-25,0.0
207,116,2020-12-25,0.0
208,120,2020-12-25,0.0
209,121,2020-12-25,0.0
210,124,2020-12-25,0.0
211,221,2020-12-25,0.0
212,12,2020-12-26,0.0
213,13,2020-12-26,0.0
214,14,2020-12-26,0.0
215,15,2020-12-26,0.0
216,16,2020-12-26,0.0
217,17,2020-12-26,0.0
218,18,2020-12-26,0.0
219,19,2020-12-26,2.0
220,20,2020-12-26,10.0
221,21,2020-12-26,19.0
222,22,2020-12-26,44.0
223,23,2020-12-26,72.0
224,24,2020-12-26,96.0
225,25,2020-12-26,135.0
